Plot,Treatment,Row,Date,With Brood,Without Brood,Added.Brood,Added.No.Brood,Days.Since.Start
303,Clinch,5,2/22-2/24,3,0,23,0,0
304,HotWater,1,2/22-2/24,7,0,NA,NA,0
304,HotWater,2,2/22-2/24,6,0,NA,NA,0
304,HotWater,3,2/22-2/24,5,0,NA,NA,0
304,HotWater,4,2/22-2/24,6,0,NA,NA,0
304,HotWater,5,2/22-2/24,7,0,31,0,0
305,Control,1,2/22-2/24,6,0,NA,NA,0
305,Control,2,2/22-2/24,8,0,NA,NA,0
305,Control,3,2/22-2/24,5,0,NA,NA,0
305,Control,4,2/22-2/24,7,0,NA,NA,0
305,Control,5,2/22-2/24,5,0,31,0,0
401,HotWater,1,2/22-2/24,9,0,NA,NA,0
401,HotWater,2,2/22-2/24,11,0,NA,NA,0
401,HotWater,3,2/22-2/24,8,0,NA,NA,0
401,HotWater,4,2/22-2/24,7,0,NA,NA,0
401,HotWater,5,2/22-2/24,9,0,44,0,0
402,Extinguish,1,2/22-2/24,8,0,NA,NA,0
402,Extinguish,2,2/22-2/24,10,0,NA,NA,0
402,Extinguish,3,2/22-2/24,11,0,NA,NA,0
402,Extinguish,4,2/22-2/24,8,0,NA,NA,0
402,Extinguish,5,2/22-2/24,11,0,48,0,0
403,Control,1,2/22-2/24,7,0,NA,NA,0
403,Control,2,2/22-2/24,5,0,NA,NA,0
403,Control,3,2/22-2/24,10,0,NA,NA,0
403,Control,4,2/22-2/24,7,0,NA,NA,0
403,Control,5,2/22-2/24,7,0,36,0,0
404,Clinch,1,2/22-2/24,8,0,NA,NA,0
404,Clinch,2,2/22-2/24,9,0,NA,NA,0
404,Clinch,3,2/22-2/24,8,0,NA,NA,0
404,Clinch,4,2/22-2/24,9,0,NA,NA,0
404,Clinch,5,2/22-2/24,15,0,49,0,0
405,Chlorpyrifos,1,2/22-2/24,4,0,NA,NA,0
405,Chlorpyrifos,2,2/22-2/24,7,0,NA,NA,0
405,Chlorpyrifos,3,2/22-2/24,10,0,NA,NA,0
405,Chlorpyrifos,4,2/22-2/24,5,0,NA,NA,0
405,Chlorpyrifos,5,2/22-2/24,10,0,36,0,0
501,Clinch,1,2/22-2/24,5,0,NA,NA,0
501,Clinch,2,2/22-2/24,4,0,NA,NA,0
501,Clinch,3,2/22-2/24,8,0,NA,NA,0
501,Clinch,4,2/22-2/24,5,0,NA,NA,0
501,Clinch,5,2/22-2/24,6,0,28,0,0
502,Control,1,2/22-2/24,11,0,NA,NA,0
502,Control,2,2/22-2/24,5,0,NA,NA,0
502,Control,3,2/22-2/24,7,0,NA,NA,0
502,Control,4,2/22-2/24,9,0,NA,NA,0
502,Control,5,2/22-2/24,6,0,38,0,0
503,Chlorpyrifos,1,2/22-2/24,7,0,NA,NA,0
503,Chlorpyrifos,2,2/22-2/24,7,0,NA,NA,0
503,Chlorpyrifos,3,2/22-2/24,6,0,NA,NA,0
503,Chlorpyrifos,4,2/22-2/24,6,0,NA,NA,0
503,Chlorpyrifos,5,2/22-2/24,5,0,31,0,0
504,Extinguish,1,2/22-2/24,5,0,NA,NA,0
504,Extinguish,2,2/22-2/24,5,0,NA,NA,0
504,Extinguish,3,2/22-2/24,10,0,NA,NA,0
504,Extinguish,4,2/22-2/24,7,0,NA,NA,0
504,Extinguish,5,2/22-2/24,4,0,31,0,0
505,HotWater,1,2/22-2/24,6,0,NA,NA,0
505,HotWater,2,2/22-2/24,7,0,NA,NA,0
505,HotWater,3,2/22-2/24,11,0,NA,NA,0
505,HotWater,4,2/22-2/24,8,0,NA,NA,0
505,HotWater,5,2/22-2/24,7,0,39,0,0
601,Control,1,2/22-2/24,7,0,NA,NA,0
601,Control,2,2/22-2/24,7,0,NA,NA,0
601,Control,3,2/22-2/24,3,0,NA,NA,0
601,Control,4,2/22-2/24,7,0,NA,NA,0
601,Control,5,2/22-2/24,4,0,28,0,0
602,HotWater,1,2/22-2/24,9,0,NA,NA,0
602,HotWater,2,2/22-2/24,6,0,NA,NA,0
602,HotWater,3,2/22-2/24,3,0,NA,NA,0
602,HotWater,4,2/22-2/24,4,0,NA,NA,0
602,HotWater,5,2/22-2/24,4,0,26,0,0
603,Extinguish,1,2/22-2/24,6,0,NA,NA,0
603,Extinguish,2,2/22-2/24,9,0,NA,NA,0
603,Extinguish,3,2/22-2/24,7,0,NA,NA,0
603,Extinguish,4,2/22-2/24,10,0,NA,NA,0
603,Extinguish,5,2/22-2/24,4,0,36,0,0
604,Clinch,1,2/22-2/24,7,0,NA,NA,0
604,Clinch,2,2/22-2/24,6,0,NA,NA,0
604,Clinch,3,2/22-2/24,5,0,NA,NA,0
604,Clinch,4,2/22-2/24,5,0,NA,NA,0
604,Clinch,5,2/22-2/24,5,0,28,0,0
605,Chlorpyrifos,1,2/22-2/24,7,0,NA,NA,0
605,Chlorpyrifos,2,2/22-2/24,6,0,NA,NA,0
605,Chlorpyrifos,3,2/22-2/24,2,0,NA,NA,0
605,Chlorpyrifos,4,2/22-2/24,5,0,NA,NA,0
605,Chlorpyrifos,5,2/22-2/24,7,0,27,0,0
101,Control,1,3/23-3/25,8,0,NA,NA,21
101,Control,2,3/23-3/25,9,0,NA,NA,21
101,Control,3,3/23-3/25,7,0,NA,NA,21
101,Control,4,3/23-3/25,6,0,NA,NA,21
101,Control,5,3/23-3/25,7,0,37,0,21
102,HotWater,1,3/23-3/25,1,0,NA,NA,21
102,HotWater,2,3/23-3/25,2,0,NA,NA,21
102,HotWater,3,3/23-3/25,3,0,NA,NA,21
102,HotWater,4,3/23-3/25,2,0,NA,NA,21
102,HotWater,5,3/23-3/25,1,0,9,0,21
103,Chlorpyrifos,1,3/23-3/25,3,0,NA,NA,21
103,Chlorpyrifos,2,3/23-3/25,4,0,NA,NA,21
103,Chlorpyrifos,3,3/23-3/25,5,0,NA,NA,21
103,Chlorpyrifos,4,3/23-3/25,5,0,NA,NA,21
103,Chlorpyrifos,5,3/23-3/25,6,0,23,0,21
104,Clinch,1,3/23-3/25,1,0,NA,NA,21
104,Clinch,2,3/23-3/25,3,0,NA,NA,21
104,Clinch,3,3/23-3/25,7,0,NA,NA,21
104,Clinch,4,3/23-3/25,6,0,NA,NA,21
104,Clinch,5,3/23-3/25,2,0,19,0,21
105,Extinguish,1,3/23-3/25,3,0,NA,NA,21
105,Extinguish,2,3/23-3/25,1,0,NA,NA,21
105,Extinguish,3,3/23-3/25,6,0,NA,NA,21
105,Extinguish,4,3/23-3/25,2,0,NA,NA,21
105,Extinguish,5,3/23-3/25,6,0,18,0,21
201,Chlorpyrifos,1,3/23-3/25,9,0,NA,NA,21
201,Chlorpyrifos,2,3/23-3/25,12,0,NA,NA,21
201,Chlorpyrifos,3,3/23-3/25,9,0,NA,NA,21
201,Chlorpyrifos,4,3/23-3/25,9,0,NA,NA,21
201,Chlorpyrifos,5,3/23-3/25,4,0,43,0,21
202,Clinch,1,3/23-3/25,7,0,NA,NA,21
202,Clinch,2,3/23-3/25,11,0,NA,NA,21
202,Clinch,3,3/23-3/25,7,0,NA,NA,21
202,Clinch,4,3/23-3/25,9,0,NA,NA,21
202,Clinch,5,3/23-3/25,3,0,37,0,21
203,HotWater,1,3/23-3/25,1,0,NA,NA,21
203,HotWater,2,3/23-3/25,3,0,NA,NA,21
203,HotWater,3,3/23-3/25,3,0,NA,NA,21
203,HotWater,4,3/23-3/25,2,0,NA,NA,21
203,HotWater,5,3/23-3/25,1,0,10,0,21
204,Extinguish,1,3/23-3/25,4,0,NA,NA,21
204,Extinguish,2,3/23-3/25,5,0,NA,NA,21
204,Extinguish,3,3/23-3/25,3,0,NA,NA,21
204,Extinguish,4,3/23-3/25,4,0,NA,NA,21
204,Extinguish,5,3/23-3/25,4,0,20,0,21
205,Control,1,3/23-3/25,5,0,NA,NA,21
205,Control,2,3/23-3/25,6,0,NA,NA,21
205,Control,3,3/23-3/25,8,0,NA,NA,21
205,Control,4,3/23-3/25,7,0,NA,NA,21
205,Control,5,3/23-3/25,6,0,32,0,21
301,Chlorpyrifos,1,3/23-3/25,11,0,NA,NA,21
301,Chlorpyrifos,2,3/23-3/25,7,0,NA,NA,21
301,Chlorpyrifos,3,3/23-3/25,3,0,NA,NA,21
301,Chlorpyrifos,4,3/23-3/25,8,0,NA,NA,21
301,Chlorpyrifos,5,3/23-3/25,3,0,32,0,21
302,Extinguish,1,3/23-3/25,4,0,NA,NA,21
302,Extinguish,2,3/23-3/25,5,0,NA,NA,21
302,Extinguish,3,3/23-3/25,2,0,NA,NA,21
302,Extinguish,4,3/23-3/25,4,0,NA,NA,21
302,Extinguish,5,3/23-3/25,7,0,22,0,21
303,Clinch,1,3/23-3/25,7,0,NA,NA,21
303,Clinch,2,3/23-3/25,2,0,NA,NA,21
303,Clinch,3,3/23-3/25,0,0,NA,NA,21
303,Clinch,4,3/23-3/25,1,0,NA,NA,21
303,Clinch,5,3/23-3/25,3,0,13,0,21
304,HotWater,1,3/23-3/25,1,0,NA,NA,21
304,HotWater,2,3/23-3/25,3,0,NA,NA,21
304,HotWater,3,3/23-3/25,1,0,NA,NA,21
304,HotWater,4,3/23-3/25,4,0,NA,NA,21
304,HotWater,5,3/23-3/25,3,0,12,0,21
305,Control,1,3/23-3/25,9,0,NA,NA,21
305,Control,2,3/23-3/25,5,0,NA,NA,21
305,Control,3,3/23-3/25,4,0,NA,NA,21
305,Control,4,3/23-3/25,7,0,NA,NA,21
305,Control,5,3/23-3/25,5,0,30,0,21
401,HotWater,1,3/23-3/25,1,0,NA,NA,21
401,HotWater,2,3/23-3/25,2,0,NA,NA,21
401,HotWater,3,3/23-3/25,2,0,NA,NA,21
401,HotWater,4,3/23-3/25,1,0,NA,NA,21
401,HotWater,5,3/23-3/25,0,0,6,0,21
402,Extinguish,1,3/23-3/25,3,0,NA,NA,21
402,Extinguish,2,3/23-3/25,3,0,NA,NA,21
402,Extinguish,3,3/23-3/25,2,0,NA,NA,21
402,Extinguish,4,3/23-3/25,2,0,NA,NA,21
402,Extinguish,5,3/23-3/25,3,0,13,0,21
403,Control,1,3/23-3/25,3,0,NA,NA,21
403,Control,2,3/23-3/25,5,0,NA,NA,21
403,Control,3,3/23-3/25,5,0,NA,NA,21
403,Control,4,3/23-3/25,2,0,NA,NA,21
403,Control,5,3/23-3/25,2,0,17,0,21
404,Clinch,1,3/23-3/25,3,0,NA,NA,21
404,Clinch,2,3/23-3/25,4,0,NA,NA,21
404,Clinch,3,3/23-3/25,1,0,NA,NA,21
404,Clinch,4,3/23-3/25,1,0,NA,NA,21
404,Clinch,5,3/23-3/25,1,0,10,0,21
405,Chlorpyrifos,1,3/23-3/25,4,0,NA,NA,21
405,Chlorpyrifos,2,3/23-3/25,0,0,NA,NA,21
405,Chlorpyrifos,3,3/23-3/25,3,0,NA,NA,21
405,Chlorpyrifos,4,3/23-3/25,3,0,NA,NA,21
405,Chlorpyrifos,5,3/23-3/25,0,0,10,0,21
501,Clinch,1,3/23-3/25,1,0,NA,NA,21
501,Clinch,2,3/23-3/25,0,0,NA,NA,21
501,Clinch,3,3/23-3/25,2,0,NA,NA,21
501,Clinch,4,3/23-3/25,0,0,NA,NA,21
501,Clinch,5,3/23-3/25,1,0,4,0,21
502,Control,1,3/23-3/25,2,0,NA,NA,21
502,Control,2,3/23-3/25,1,0,NA,NA,21
502,Control,3,3/23-3/25,1,0,NA,NA,21
502,Control,4,3/23-3/25,1,0,NA,NA,21
502,Control,5,3/23-3/25,1,0,6,0,21
503,Chlorpyrifos,1,3/23-3/25,3,0,NA,NA,21
503,Chlorpyrifos,2,3/23-3/25,0,0,NA,NA,21
503,Chlorpyrifos,3,3/23-3/25,0,0,NA,NA,21
503,Chlorpyrifos,4,3/23-3/25,0,0,NA,NA,21
503,Chlorpyrifos,5,3/23-3/25,0,0,3,0,21
504,Extinguish,1,3/23-3/25,1,0,NA,NA,21
504,Extinguish,2,3/23-3/25,0,0,NA,NA,21
504,Extinguish,3,3/23-3/25,1,0,NA,NA,21
504,Extinguish,4,3/23-3/25,0,0,NA,NA,21
504,Extinguish,5,3/23-3/25,0,0,2,0,21
505,HotWater,1,3/23-3/25,2,0,NA,NA,21
505,HotWater,2,3/23-3/25,0,0,NA,NA,21
505,HotWater,3,3/23-3/25,0,0,NA,NA,21
505,HotWater,4,3/23-3/25,1,0,NA,NA,21
505,HotWater,5,3/23-3/25,2,0,5,0,21
601,Control,1,3/23-3/25,0,0,NA,NA,21
601,Control,2,3/23-3/25,0,0,NA,NA,21
601,Control,3,3/23-3/25,0,0,NA,NA,21
601,Control,4,3/23-3/25,8,0,NA,NA,21
601,Control,5,3/23-3/25,5,0,13,0,21
602,HotWater,1,3/23-3/25,0,0,NA,NA,21
602,HotWater,2,3/23-3/25,2,0,NA,NA,21
602,HotWater,3,3/23-3/25,0,0,NA,NA,21
602,HotWater,4,3/23-3/25,0,0,NA,NA,21
602,HotWater,5,3/23-3/25,0,0,2,0,21
603,Extinguish,1,3/23-3/25,0,0,NA,NA,21
603,Extinguish,2,3/23-3/25,0,0,NA,NA,21
603,Extinguish,3,3/23-3/25,0,0,NA,NA,21
603,Extinguish,4,3/23-3/25,3,0,NA,NA,21
603,Extinguish,5,3/23-3/25,2,0,5,0,21
604,Clinch,1,3/23-3/25,0,0,NA,NA,21
604,Clinch,2,3/23-3/25,0,0,NA,NA,21
604,Clinch,3,3/23-3/25,0,0,NA,NA,21
604,Clinch,4,3/23-3/25,2,0,NA,NA,21
604,Clinch,5,3/23-3/25,4,0,6,0,21
605,Chlorpyrifos,1,3/23-3/25,1,0,NA,NA,21
605,Chlorpyrifos,2,3/23-3/25,0,0,NA,NA,21
605,Chlorpyrifos,3,3/23-3/25,0,0,NA,NA,21
605,Chlorpyrifos,4,3/23-3/25,5,0,NA,NA,21
605,Chlorpyrifos,5,3/23-3/25,3,0,9,0,21
101,Control,1,4/12-4/13/2021,8,0,NA,NA,40
101,Control,2,4/12-4/13/2021,5,3,NA,NA,40
101,Control,3,4/12-4/13/2021,9,0,NA,NA,40
101,Control,4,4/12-4/13/2021,12,0,NA,NA,40
101,Control,5,4/12-4/13/2021,5,3,39,6,40
102,HotWater,1,4/12-4/13/2021,2,0,NA,NA,40
102,HotWater,2,4/12-4/13/2021,2,1,NA,NA,40
102,HotWater,3,4/12-4/13/2021,2,0,NA,NA,40
102,HotWater,4,4/12-4/13/2021,3,0,NA,NA,40
102,HotWater,5,4/12-4/13/2021,4,2,13,3,40
103,Chlorpyrifos,1,4/12-4/13/2021,6,2,NA,NA,40
103,Chlorpyrifos,2,4/12-4/13/2021,9,2,NA,NA,40
103,Chlorpyrifos,3,4/12-4/13/2021,7,1,NA,NA,40
103,Chlorpyrifos,4,4/12-4/13/2021,4,0,NA,NA,40
103,Chlorpyrifos,5,4/12-4/13/2021,2,1,28,6,40
104,Clinch,1,4/12-4/13/2021,0,1,NA,NA,40
104,Clinch,2,4/12-4/13/2021,1,0,NA,NA,40
104,Clinch,3,4/12-4/13/2021,7,2,NA,NA,40
104,Clinch,4,4/12-4/13/2021,1,0,NA,NA,40
104,Clinch,5,4/12-4/13/2021,2,1,11,4,40
105,Extinguish,1,4/12-4/13/2021,1,2,NA,NA,40
105,Extinguish,2,4/12-4/13/2021,3,1,NA,NA,40
105,Extinguish,3,4/12-4/13/2021,2,2,NA,NA,40
105,Extinguish,4,4/12-4/13/2021,5,2,NA,NA,40
105,Extinguish,5,4/12-4/13/2021,7,3,18,10,40
201,Chlorpyrifos,1,4/12-4/13/2021,3,1,NA,NA,40
201,Chlorpyrifos,2,4/12-4/13/2021,4,3,NA,NA,40
201,Chlorpyrifos,3,4/12-4/13/2021,3,3,NA,NA,40
201,Chlorpyrifos,4,4/12-4/13/2021,4,2,NA,NA,40
201,Chlorpyrifos,5,4/12-4/13/2021,2,1,16,10,40
202,Clinch,1,4/12-4/13/2021,2,1,NA,NA,40
202,Clinch,2,4/12-4/13/2021,2,1,NA,NA,40
202,Clinch,3,4/12-4/13/2021,0,3,NA,NA,40
202,Clinch,4,4/12-4/13/2021,2,1,NA,NA,40
202,Clinch,5,4/12-4/13/2021,1,1,7,7,40
203,HotWater,1,4/12-4/13/2021,1,1,NA,NA,40
203,HotWater,2,4/12-4/13/2021,0,2,NA,NA,40
203,HotWater,3,4/12-4/13/2021,2,0,NA,NA,40
203,HotWater,4,4/12-4/13/2021,2,0,NA,NA,40
203,HotWater,5,4/12-4/13/2021,0,0,5,3,40
204,Extinguish,1,4/12-4/13/2021,0,1,NA,NA,40
204,Extinguish,2,4/12-4/13/2021,4,0,NA,NA,40
204,Extinguish,3,4/12-4/13/2021,0,1,NA,NA,40
204,Extinguish,4,4/12-4/13/2021,2,0,NA,NA,40
204,Extinguish,5,4/12-4/13/2021,3,4,9,6,40
205,Control,1,4/12-4/13/2021,6,1,NA,NA,40
205,Control,2,4/12-4/13/2021,3,3,NA,NA,40
205,Control,3,4/12-4/13/2021,8,3,NA,NA,40
205,Control,4,4/12-4/13/2021,9,1,NA,NA,40
205,Control,5,4/12-4/13/2021,6,1,32,9,40
301,Chlorpyrifos,1,4/12-4/13/2021,9,2,NA,NA,40
301,Chlorpyrifos,2,4/12-4/13/2021,5,3,NA,NA,40
301,Chlorpyrifos,3,4/12-4/13/2021,5,1,NA,NA,40
301,Chlorpyrifos,4,4/12-4/13/2021,5,6,NA,NA,40
301,Chlorpyrifos,5,4/12-4/13/2021,5,0,29,12,40
302,Extinguish,1,4/12-4/13/2021,4,0,NA,NA,40
302,Extinguish,2,4/12-4/13/2021,3,1,NA,NA,40
302,Extinguish,3,4/12-4/13/2021,1,1,NA,NA,40
302,Extinguish,4,4/12-4/13/2021,4,1,NA,NA,40
302,Extinguish,5,4/12-4/13/2021,3,1,15,4,40
303,Clinch,1,4/12-4/13/2021,2,1,NA,NA,40
303,Clinch,2,4/12-4/13/2021,1,2,NA,NA,40
303,Clinch,3,4/12-4/13/2021,0,0,NA,NA,40
303,Clinch,4,4/12-4/13/2021,1,0,NA,NA,40
303,Clinch,5,4/12-4/13/2021,0,0,4,3,40
304,HotWater,1,4/12-4/13/2021,3,2,NA,NA,40
304,HotWater,2,4/12-4/13/2021,2,1,NA,NA,40
304,HotWater,3,4/12-4/13/2021,2,2,NA,NA,40
304,HotWater,4,4/12-4/13/2021,1,2,NA,NA,40
304,HotWater,5,4/12-4/13/2021,0,2,8,9,40
305,Control,1,4/12-4/13/2021,6,2,NA,NA,40
305,Control,2,4/12-4/13/2021,4,2,NA,NA,40
305,Control,3,4/12-4/13/2021,8,1,NA,NA,40
305,Control,4,4/12-4/13/2021,2,9,NA,NA,40
305,Control,5,4/12-4/13/2021,4,2,24,16,40
401,HotWater,1,4/12-4/13/2021,2,0,NA,NA,40
401,HotWater,2,4/12-4/13/2021,3,2,NA,NA,40
401,HotWater,3,4/12-4/13/2021,3,1,NA,NA,40
401,HotWater,4,4/12-4/13/2021,0,2,NA,NA,40
401,HotWater,5,4/12-4/13/2021,0,2,8,7,40
402,Extinguish,1,4/12-4/13/2021,2,2,NA,NA,40
402,Extinguish,2,4/12-4/13/2021,3,1,NA,NA,40
402,Extinguish,3,4/12-4/13/2021,0,2,NA,NA,40
402,Extinguish,4,4/12-4/13/2021,3,2,NA,NA,40
402,Extinguish,5,4/12-4/13/2021,0,0,8,7,40
403,Control,1,4/12-4/13/2021,0,0,NA,NA,40
403,Control,2,4/12-4/13/2021,2,2,NA,NA,40
403,Control,3,4/12-4/13/2021,3,2,NA,NA,40
403,Control,4,4/12-4/13/2021,0,1,NA,NA,40
403,Control,5,4/12-4/13/2021,1,3,6,8,40
404,Clinch,1,4/12-4/13/2021,1,2,NA,NA,40
404,Clinch,2,4/12-4/13/2021,2,0,NA,NA,40
404,Clinch,3,4/12-4/13/2021,2,1,NA,NA,40
404,Clinch,4,4/12-4/13/2021,0,3,NA,NA,40
404,Clinch,5,4/12-4/13/2021,0,0,5,6,40
405,Chlorpyrifos,1,4/12-4/13/2021,4,1,NA,NA,40
405,Chlorpyrifos,2,4/12-4/13/2021,8,2,NA,NA,40
405,Chlorpyrifos,3,4/12-4/13/2021,5,2,NA,NA,40
405,Chlorpyrifos,4,4/12-4/13/2021,0,1,NA,NA,40
405,Chlorpyrifos,5,4/12-4/13/2021,0,3,17,9,40
501,Clinch,1,4/12-4/13/2021,0,2,NA,NA,40
501,Clinch,2,4/12-4/13/2021,0,4,NA,NA,40
501,Clinch,3,4/12-4/13/2021,1,2,NA,NA,40
501,Clinch,4,4/12-4/13/2021,1,2,NA,NA,40
501,Clinch,5,4/12-4/13/2021,0,2,2,12,40
502,Control,1,4/12-4/13/2021,4,3,NA,NA,40
502,Control,2,4/12-4/13/2021,4,3,NA,NA,40
502,Control,3,4/12-4/13/2021,1,2,NA,NA,40
502,Control,4,4/12-4/13/2021,2,3,NA,NA,40
502,Control,5,4/12-4/13/2021,2,3,13,14,40
503,Chlorpyrifos,1,4/12-4/13/2021,3,2,NA,NA,40
503,Chlorpyrifos,2,4/12-4/13/2021,2,2,NA,NA,40
503,Chlorpyrifos,3,4/12-4/13/2021,2,2,NA,NA,40
503,Chlorpyrifos,4,4/12-4/13/2021,0,1,NA,NA,40
503,Chlorpyrifos,5,4/12-4/13/2021,0,2,7,9,40
504,Extinguish,1,4/12-4/13/2021,0,0,NA,NA,40
504,Extinguish,2,4/12-4/13/2021,0,0,NA,NA,40
504,Extinguish,3,4/12-4/13/2021,2,2,NA,NA,40
504,Extinguish,4,4/12-4/13/2021,0,0,NA,NA,40
504,Extinguish,5,4/12-4/13/2021,0,1,2,3,40
505,HotWater,1,4/12-4/13/2021,2,1,NA,NA,40
505,HotWater,2,4/12-4/13/2021,0,2,NA,NA,40
505,HotWater,3,4/12-4/13/2021,1,0,NA,NA,40
505,HotWater,4,4/12-4/13/2021,0,2,NA,NA,40
505,HotWater,5,4/12-4/13/2021,0,0,3,5,40
601,Control,1,4/12-4/13/2021,0,2,NA,NA,40
601,Control,2,4/12-4/13/2021,1,0,NA,NA,40
601,Control,3,4/12-4/13/2021,2,4,NA,NA,40
601,Control,4,4/12-4/13/2021,6,5,NA,NA,40
601,Control,5,4/12-4/13/2021,9,4,18,15,40
602,HotWater,1,4/12-4/13/2021,0,1,NA,NA,40
602,HotWater,2,4/12-4/13/2021,0,0,NA,NA,40
602,HotWater,3,4/12-4/13/2021,3,0,NA,NA,40
602,HotWater,4,4/12-4/13/2021,1,1,NA,NA,40
602,HotWater,5,4/12-4/13/2021,1,1,5,3,40
603,Extinguish,1,4/12-4/13/2021,0,1,NA,NA,40
603,Extinguish,2,4/12-4/13/2021,0,0,NA,NA,40
603,Extinguish,3,4/12-4/13/2021,1,1,NA,NA,40
603,Extinguish,4,4/12-4/13/2021,0,2,NA,NA,40
603,Extinguish,5,4/12-4/13/2021,3,2,4,6,40
604,Clinch,1,4/12-4/13/2021,0,3,NA,NA,40
604,Clinch,2,4/12-4/13/2021,0,1,NA,NA,40
604,Clinch,3,4/12-4/13/2021,1,0,NA,NA,40
604,Clinch,4,4/12-4/13/2021,0,2,NA,NA,40
604,Clinch,5,4/12-4/13/2021,0,3,1,9,40
605,Chlorpyrifos,1,4/12-4/13/2021,0,4,NA,NA,40
605,Chlorpyrifos,2,4/12-4/13/2021,0,2,NA,NA,40
605,Chlorpyrifos,3,4/12-4/13/2021,0,4,NA,NA,40
605,Chlorpyrifos,4,4/12-4/13/2021,6,0,NA,NA,40
605,Chlorpyrifos,5,4/12-4/13/2021,5,2,11,12,40
101,Control,1,4/26/21,2,2,NA,NA,54
101,Control,2,4/26/21,2,2,NA,NA,54
101,Control,3,4/26/21,1,1,NA,NA,54
101,Control,4,4/26/21,2,1,NA,NA,54
101,Control,5,4/26/21,1,2,8,8,54
102,HotWater,1,4/26/21,1,0,NA,NA,54
102,HotWater,2,4/26/21,1,1,NA,NA,54
102,HotWater,3,4/26/21,0,1,NA,NA,54
